wordle_id,year,month,date,n_players,n_hard_mode,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_fail,answer
459,2022,9,21,31976,2900,0,5,30,35,21,8,1,recap
460,2022,9,22,34455,3119,1,14,35,29,15,5,1,saint
461,2022,9,23,31509,2893,0,6,30,39,19,5,0,glory
462,2022,9,24,32777,3077,1,14,29,28,16,8,3,grate
463,2022,9,25,28994,2677,0,10,25,34,22,8,1,admit
464,2022,9,26,31716,2884,0,5,23,38,24,7,1,brisk
465,2022,9,27,30985,2888,0,2,18,38,28,11,2,soggy
466,2022,9,28,31335,3007,0,3,21,38,26,9,1,usurp
467,2022,9,29,30477,2829,0,4,23,36,24,11,2,scald
468,2022,9,30,31223,2859,0,8,31,35,20,6,1,scorn
469,2022,10,1,28202,2696,0,4,16,34,31,12,1,leave
470,2022,10,2,30088,2775,0,6,28,40,20,5,1,twine
471,2022,10,3,32288,2969,1,10,30,33,18,8,2,sting
472,2022,10,4,32014,3060,0,3,17,35,28,13,3,bough
473,2022,10,5,30935,2885,0,9,30,35,19,6,1,marsh
474,2022,10,6,32522,2987,1,10,38,34,13,3,0,sloth
475,2022,10,7,29026,2840,0,2,11,23,29,24,11,dandy
476,2022,10,8,26905,2642,0,2,15,35,31,14,2,vigor
477,2022,10,9,28408,2668,0,2,13,32,32,17,4,howdy
478,2022,10,10,26878,2654,0,3,12,29,33,20,3,enjoy
479,2022,10,11,28575,2752,0,4,28,38,21,8,1,valid
480,2022,10,12,29151,2947,0,2,13,25,28,21,11,ionic
481,2022,10,13,27197,2677,0,5,23,35,25,11,2,equal
482,2022,10,14,28906,2752,0,3,23,44,24,6,0,floor
483,2022,10,15,30403,3123,0,7,18,20,15,16,23,catch
484,2022,10,16,30459,2854,1,8,29,36,19,6,1,spade
485,2022,10,17,31269,2965,1,12,34,32,16,5,1,stein
486,2022,10,18,28612,2805,0,5,24,38,23,8,1,exist
487,2022,10,19,28322,2794,0,3,23,39,24,9,2,quirk
488,2022,10,20,28741,2769,0,5,29,40,20,5,0,denim
489,2022,10,21,28637,2794,0,4,18,30,28,17,3,grove
490,2022,10,22,29084,2810,0,7,32,36,19,6,1,spiel
491,2022,10,23,29279,3021,0,1,4,14,27,37,18,mummy
492,2022,10,24,28947,2768,0,7,27,35,22,8,1,fault
493,2022,10,25,28953,2817,0,2,13,35,32,15,3,foggy
494,2022,10,26,30063,2904,0,6,28,37,21,7,1,flout
495,2022,10,27,27609,2615,0,4,22,35,24,12,3,carry
496,2022,10,28,27905,2636,0,7,28,36,21,7,1,sneak
497,2022,10,29,25156,2536,0,3,15,32,32,16,2,libel
498,2022,10,30,24672,2496,0,2,11,29,35,19,3,waltz
499,2022,10,31,26498,2572,0,3,26,41,23,7,1,aptly
500,2022,11,1,27502,2667,0,1,14,37,33,14,2,piney
501,2022,11,2,27670,2640,0,6,30,39,20,6,1,inept
502,2022,11,3,29554,2819,1,18,31,30,15,4,1,aloud
503,2022,11,4,27330,2565,0,5,34,43,15,3,0,photo
504,2022,11,5,29743,2751,5,14,31,29,15,4,1,dream
505,2022,11,6,31068,3013,2,19,30,27,15,6,2,stale
506,2022,11,7,26096,2439,0,6,26,36,23,7,1,begin
507,2022,11,8,27213,2531,0,4,24,37,24,9,1,spell
508,2022,11,9,28984,2678,1,16,38,31,11,3,1,rainy
509,2022,11,10,27467,2575,1,11,31,33,18,5,1,unite
510,2022,11,11,25993,2438,0,5,25,38,23,8,1,medal
511,2022,11,12,24660,2356,0,4,22,38,25,9,1,valet
512,2022,11,13,25085,2515,0,8,25,30,21,13,3,inane
513,2022,11,14,26536,2467,1,6,26,36,21,8,1,maple
514,2022,11,15,27475,2650,0,5,21,31,24,15,4,snarl
515,2022,11,16,25576,2541,0,5,16,23,24,22,10,baker
516,2022,11,17,27465,2530,0,14,35,33,14,4,0,there
517,2022,11,18,29208,2899,0,2,23,49,20,5,1,glyph
518,2022,11,19,24749,2400,0,7,26,35,22,9,1,avert
519,2022,11,20,24991,2396,1,6,17,27,27,18,5,brave
520,2022,11,21,24288,2382,0,5,19,33,27,13,3,axiom
521,2022,11,22,27437,2534,1,10,26,32,21,9,1,prime
522,2022,11,23,26663,2451,1,12,32,30,18,6,1,drive
523,2022,11,24,27705,2725,5,13,25,27,19,10,2,feast
524,2022,11,25,24197,2329,0,8,28,40,18,5,1,itchy
525,2022,11,26,26381,2424,1,17,36,31,12,3,0,clean
526,2022,11,27,25206,2356,0,6,28,39,19,6,1,happy
527,2022,11,28,26051,2484,0,10,38,35,13,3,0,tepid
528,2022,11,29,23739,2316,0,3,19,35,29,13,2,undue
529,2022,11,30,25569,2405,0,6,30,33,19,10,2,study
530,2022,12,1,22628,2200,0,2,11,35,36,14,2,eject
531,2022,12,2,24646,2343,0,6,30,33,19,9,2,chafe
532,2022,12,3,23873,2260,0,4,35,36,17,6,1,torso
533,2022,12,4,25577,2398,2,17,32,29,15,5,1,adore
534,2022,12,5,23153,2200,0,2,10,25,36,23,4,woken
535,2022,12,6,23509,2261,0,6,22,33,24,12,3,amber
536,2022,12,7,24899,2388,0,6,29,34,21,8,2,joust
537,2022,12,8,21199,1863,0,3,19,33,26,14,3,infer
538,2022,12,9,23640,2165,0,10,36,35,14,3,0,braid
539,2022,12,10,21157,2041,0,3,18,43,27,8,1,knock
540,2022,12,11,21947,2075,1,7,24,32,24,11,1,naive
541,2022,12,12,22873,2150,0,5,28,38,22,7,1,apply
542,2022,12,13,24101,2224,0,6,31,38,19,5,0,spoke
543,2022,12,14,20824,2048,0,3,20,39,27,10,1,usual
544,2022,12,15,22176,2127,0,7,27,35,22,8,1,rival
545,2022,12,16,22853,2160,0,6,24,32,24,11,3,probe
546,2022,12,17,22336,2088,0,7,39,38,13,3,0,chord
547,2022,12,18,22166,2108,0,8,28,30,20,11,3,taper
548,2022,12,19,26010,2422,6,14,33,27,13,5,1,slate
549,2022,12,20,24137,2261,1,10,47,32,9,2,0,third
550,2022,12,21,22180,2036,0,5,32,40,17,4,0,lunar
551,2022,12,22,20490,2034,0,1,13,34,34,15,2,excel
552,2022,12,23,21937,2112,0,7,26,35,20,10,3,aorta
553,2022,12,24,20281,1911,2,11,34,32,15,6,1,poise
554,2022,12,25,15554,1562,1,5,20,35,28,10,1,extra
555,2022,12,26,20011,2043,0,2,8,16,26,33,14,judge
556,2022,12,27,20879,2012,0,2,17,35,29,14,3,condo
557,2022,12,28,20160,1937,0,3,21,40,25,9,1,impel
558,2022,12,29,20001,1919,0,2,16,38,30,12,2,havoc
559,2022,12,30,21204,1973,0,4,21,38,26,9,1,molar
560,2022,12,31,20380,1899,0,2,17,37,29,12,2,manly
561,2023,1,1,22072,2132,0,4,27,41,22,6,1,whine
562,2023,1,2,22252,2094,0,6,31,39,19,5,0,skirt
563,2023,1,3,22018,2072,0,7,32,37,18,5,0,antic
564,2023,1,4,22394,2207,0,5,18,25,22,19,11,layer
565,2023,1,5,22283,2078,0,3,22,42,25,7,1,sleek
566,2023,1,6,19725,1936,0,1,12,33,33,17,3,belie
567,2023,1,7,21946,2072,1,8,29,37,19,6,1,lemon
568,2023,1,8,21510,2054,2,10,29,33,20,6,1,opera
569,2023,1,9,20248,2049,0,2,12,30,34,18,4,pixie
570,2023,1,10,22248,2157,0,2,19,40,28,9,1,grimy
571,2023,1,11,22194,2128,0,8,38,35,14,4,0,sedan
572,2023,1,12,22606,2218,0,6,28,35,22,7,1,leapt
573,2023,1,13,20879,2057,1,5,31,41,17,4,0,human
574,2023,1,14,19542,1921,0,2,17,38,29,12,2,koala
575,2023,1,15,24058,2310,1,15,36,26,14,7,2,spire
576,2023,1,16,22147,2131,0,3,24,37,25,10,1,frock
577,2023,1,17,21946,2081,0,9,33,35,17,5,0,adopt
578,2023,1,18,22775,2176,0,5,25,37,22,9,2,chard
579,2023,1,19,22670,2186,0,1,14,38,29,15,3,mucky
580,2023,1,20,22818,2158,1,11,30,32,18,7,1,alter
581,2023,1,21,20481,1948,0,1,14,41,31,11,1,blurb
582,2023,1,22,20862,1961,0,2,15,35,33,14,2,matey
583,2023,1,23,20894,1998,0,2,18,36,31,12,1,elude
584,2023,1,24,23047,2135,1,8,35,36,15,4,0,count
585,2023,1,25,21153,2060,0,7,18,27,26,17,4,maize
586,2023,1,26,20598,1983,0,1,10,35,35,16,3,beefy
587,2023,1,27,20810,1974,0,3,19,35,27,14,3,worry
588,2023,1,28,21916,2036,0,9,39,36,13,3,0,flirt
589,2023,1,29,21115,2032,0,4,28,38,21,7,1,fishy
590,2023,1,30,22538,2148,1,7,18,26,24,18,6,crave
592,2023,2,1,21569,2039,0,6,36,36,17,5,1,scold
